song_artist,count
3 Doors Down,8
311,6
38 Special,2
4 Non Blondes,1
A's,1
A Perfect Circle,1
AC/DC,31
Accept,1
Aerosmith,31
Afroman,1
Alanis Morissette,3
Aldo Nova,1
Alice Cooper,6
Alice In Chains,13
Alien Ant Farm,1
Alter Bridge,2
Amboy Dukes & Ted Nugent,1
America,1
American Bang,1
American Hi-Fi,1
Andrew W.K.,1
Anthrax,3
"Anthrax, Ice T & Public Enemy",1
Aretha Franklin,1
Argent,1
Arlo Guthrie,1
Asia,2
Audioslave,8
Autograph,1
Avenged Sevenfold,5
Awolnation,1
Ayron Jones,2
B.B. King,1
Bachman-Turner Overdrive,1
Bad Company,9
Bad Wolves,1
Barenaked Ladies,4
Beastie Boys,6
Beatles,2
Beck,3
Beds,1
Beru Revue,2
Better Than Ezra,2
Big Audio Dynamite,1
Big Country,1
Big Head Todd & The Monsters,1
Bill Haley and His Comets,1
Bill Weston,1
Bill Withers,2
Billie Joe Armstrong,3
Billy Idol,10
Billy Joel,11
"Billy Morrison, Ozzy Osbourne & Steve Stevens",1
Billy Squier,6
Billy Thorpe,1
Black Sabbath,7
Blackfoot,1
Blind Faith,1
Blind Melon,1
blink-182,5
Blondie,3
Bloodhound Gang,1
Blue Öyster Cult,3
Blues Traveler,2
Blur,2
Bob Dylan,13
Bob Marley,11
Bob Marley & The Wailers,1
Bob Seger,6
Bob Seger & The Silver Bullet Band,5
Bobby Darin,1
Bon Jovi,25
Bonnie Raitt,3
Booker T. & The M.G.'s,1
Boston,9
Breaking Benjamin,8
Brewer & Shipley,1
Britny Fox,1
Brother Cane,1
Brownsville Station,1
Bruce Springsteen,38
Bryan Adams,4
Buckcherry,1
Buffalo Springfield,1
Bush,8
Butthole Surfers,1
Cage The Elephant,9
CAKE,5
Candlebox,2
Carl Perkins,1
Cars,3
Chambers Brothers,1
Cheap Trick,9
Chevelle,1
Chicago,2
Chris Cornell,7
Chris Stapleton,1
Chubby Checker,1
Chuck Berry,1
Cinderella,6
Coheed and Cambria,1
Cold,2
Coldplay,7
Collective Soul,18
Commander Cody,1
Concrete Blonde,1
Counting Crows,8
Cracker,3
Crash Test Dummies,1
Cream,9
Creed,9
Creedence Clearwater Revival,11
"Crosby, Stills & Nash",4
"Crosby, Stills, Nash & Young",7
D**n Yankees,1
Dada,1
Danzig,1
Daryl Hall & John Oates,4
Daughtry,1
Dave Edmunds,1
Dave Matthews Band,18
David Bowie,22
David Bowie & Mick Jagger,1
David Gilmour,1
David Lee Roth,5
Deep Purple,6
Def Leppard,15
Deftones,1
Depeche Mode,2
Derek & The Dominos,2
Devo,2
Dexies Midnight Runners,1
Dinosaur Pile-Up,1
Dio,3
Dire Straits,10
Dirty Honey,7
Disturbed,16
Divinyls,1
Dokken,3
Don Henley,3
Don Mcclean,1
Donnie Iris,1
Donovan,2
Dorothy,6
Dr. John,1
Dream Theater,1
Dropkick Murphys,4
DROPKICK MURPHYS [+] BRUCE SPRINGSTEEN,1
Drowning Pool,1
Eagles,12
Echo & The Bunnymen,1
Eddie Cochran,2
Eddie Money,5
Eddie Vedder,4
Edwin Starr,1
Electric Light Orchestra,4
Elton John,7
Elvis Costello,6
Elvis Costello & Elvis Costello & The Imposters,1
Elvis Costello & The Imposters,1
Elvis Presley,2
"Emerson, Lake & Palmer",2
EMF,1
Eric Clapton,8
Eric Johnson,1
Europe,1
Evanescence,6
Eve 6,1
Everclear,4
Everlast,2
EXTREME,3
Faces,2
Faith No More,2
Falling In Reverse & Jelly Roll,1
Fastball,1
Filter,1
Finger Eleven,1
Five Finger Death Punch,6
FIVE FINGER DEATH PUNCH [+] KENNY WAYNE SHEPHERD,1
Fleetwood Mac,14
Focus,1
Foghat,3
Foo Fighters,34
Foreigner,9
Fountains Of Wayne,2
Fozzy,1
Frank Sinatra,3
Frank Zappa,2
Franz Ferdinand,1
Free,1
Froggy,2
Fuel,8
G. Love & Special Sauce,1
Garbage,4
Gary Hoey,3
GARY NEWMAN,1
Genesis,17
George Thorogood,1
George Thorogood & The Destroyers,8
Georgia Satellites,1
Ghost,7
Gin Blossoms,4
Glenn Frey,1
Glenn Miller and His Orchestra,1
Go Gos,1
Godsmack,19
Golden Earring,2
Good Morning It Song,1
Gordon Lightfoot,2
Grand Funk Railroad,2
Grateful Dead,14
Great White,1
Green Day,32
GREEN DAY,1
Green Day ID,2
Green Jellÿ,1
Greg Kihn Band,1
Greta Van Fleet,6
Guns N' Roses,17
Halestorm,13
Halestorm & I Prevail,2
Harold Feltmeyer,1
Harry Chapin,1
Harvey Danger,1
Heart,8
Helmet,1
Hole,2
HONEYDRIPPERS,1
Hoobastank,2
Hooters,1
Hootie & The Blowfish,2
House of Pain,1
Hu,1
Huey Lewis & The News,2
Humble Pie,1
Ian Dury & The Blockheads,1
Ian Hunter,1
Iggy Pop,2
Ike & Tina Turner,1
Imagine Dragons,3
Incubus,12
INXS,12
Iron Butterfly,1
Iron Maiden,8
Jack,1
Jack White,2
Jackson Browne,6
James,1
James Gang,2
James Taylor,2
Jane's Addiction,3
Janis Joplin,3
JBB SWEEP 2,1
JBB SWEEP 5,3
Jeff Beck,1
Jeff Buckley,1
Jefferson Airplane,2
Jelly Roll,2
Jerry Cantrell,2
Jerry Lee Lewis,1
Jet,7
Jethro Tull,4
Jimi Hendrix,4
Jimmy Buffett,5
Jimmy Eat World,1
Joan Jett & The Blackhearts,7
Joe Bonamassa,1
Joe Cocker,2
Joe Jackson,5
Joe Satriani,6
Joe Walsh,3
Joey Ramone,1
John Cougar,3
John Cougar Mellencamp,9
John Fogerty,2
John Lennon,9
John Mellencamp,1
Johnny Cash,5
Jon Bon Jovi,1
Journey,6
Judas Priest,6
KALEO,2
Kansas,3
Kate Bush,1
Kenny Wayne Shepherd,3
Killer Dolls,1
Killer Shadows,1
Killswitch Engage,1
King Crimson,1
Kings of Leon,11
Kiss,20
Korn,7
Larkin Poe,1
