id,song_name,song_artist,time_played
1,#1 Crush,Garbage,2024-08-29 12:03:00
2,2 Minutes to Midnight,Iron Maiden,2024-08-29 12:08:00
3,"4th of July, Asbury Park (Sandy)",Bruce Springsteen,2024-08-29 12:17:00
4,#9 Dream,John Lennon,2024-08-29 12:22:00
5,17 Girls In a Row,Steel Panther,2024-08-29 12:41:00
6,18 and Life,Skid Row,2024-08-29 12:45:00
7,21 Guns,Green Day,2024-08-29 12:57:00
8,21st Century Breakdown,Green Day,2024-08-29 13:02:00
10,29 Palms,Robert Plant,2024-08-29 13:15:00
11,30 Days In the Hole,Humble Pie,2024-08-29 13:19:00
12,"""45""",The Gaslight Anthem,2024-08-29 13:39:00
13,45,Shinedown,2024-08-29 13:42:00
14,50 Ways to Leave Your Lover,Paul Simon,2024-08-29 13:47:00
15,5:15 (Five Fifteen),Who,2024-08-29 13:50:00
16,1000hp,Godsmack,2024-08-29 14:06:00
17,11:11,Dinosaur Pile-Up,2024-08-29 14:10:00
18,1979,The Smashing Pumpkins,2024-08-29 14:19:00
19,1984,David Bowie,2024-08-29 14:35:00
20,2000 Light Years Away,Green Day,2024-08-29 14:47:00
21,"""5150""",Van Halen,2024-08-29 14:49:00
22,A Boy Named Sue,Johnny Cash,2024-08-29 15:36:00
23,A Certain Girl,Warren Zevon,2024-08-29 15:41:00
24,A Day In the Life,The Beatles,2024-08-29 15:44:00
25,A Girl Like You,The Smithereens,2024-08-29 15:49:00
26,A Hard Day's Night,The Beatles,2024-08-29 16:02:00
27,A Horse With No Name,America,2024-08-29 16:04:00
28,A Little Bit of Love,Weezer,2024-08-29 16:09:00
29,A Little Bit Off,Five Finger Death Punch,2024-08-29 16:12:00
30,A Long December,Counting Crows,2024-08-29 16:15:00
31,A Murder of One,Counting Crows,2024-08-29 16:20:00
32,A Passage to Bangkok,Rush,2024-08-29 16:35:00
33,A Rock 'n' Roll Fantasy,The Kinks,2024-08-29 16:38:00
34,A Symptom Of Being Human,Shinedown,2024-08-29 16:43:00
35,À tout le monde (Set Me Free),Megadeth,2024-08-29 16:49:00
36,A Warrior's Call,Volbeat,2024-08-29 16:53:00
37,A Whiter Shade of Pale,Procol Harum,2024-08-29 16:58:00
38,A Woman In Love,Tom Petty,2024-08-29 17:02:00
39,A Woman's Got The Power,A's,2024-08-29 17:07:00
40,A.D.I.D.A.S.,Korn,2024-08-29 17:12:00
41,Abacab,Genesis,2024-08-29 17:15:00
42,About a Girl,Nirvana,2024-08-29 17:22:00
43,Absolution Calling,Incubus,2024-08-29 17:33:00
44,Accidents Will Happen,Elvis Costello,2024-08-29 17:38:00
45,Ace of Spades,Motörhead,2024-08-29 17:41:00
46,Aces High,Iron Maiden,2024-08-29 17:45:00
47,Achilles Last Stand,Led Zeppelin,2024-08-29 17:57:00
48,Addicted to Love,Robert Palmer,2024-08-29 18:08:00
49,Ænema,TOOL,2024-08-29 18:14:00
50,Aerials,System Of A Down,2024-08-29 18:20:00
52,Africa,Toto,2024-08-29 18:40:00
53,Africa,Weezer,2024-08-29 18:44:00
54,After Midnight,Eric Clapton,2024-08-29 18:49:00
55,Again,Alice In Chains,2024-08-29 19:02:00
56,Ah! Leah!,Donnie Iris,2024-08-29 19:06:00
57,Ain't Comin' Home,Silvertide,2024-08-29 19:10:00
58,Ain't My B***h,Metallica,2024-08-29 19:14:00
60,Ain't No Sunshine,Bill Withers,2024-08-29 19:24:00
61,Ain't Talkin' 'Bout Love,Van Halen,2024-08-29 19:26:00
62,Ain't That a Shame,Cheap Trick,2024-08-29 19:40:00
63,Ain't Too Proud to Beg,The Rolling Stones,2024-08-29 19:45:00
64,Ain't Wastin' Time No More,The Allman Brothers Band,2024-08-29 19:50:00
65,Alabama Song (Whisky Bar),The Doors,2024-08-29 19:53:00
66,Farewell (Alice's Restaurant),Arlo Guthrie,2024-08-29 20:02:00
67,Alison,Elvis Costello,2024-08-29 20:22:00
68,Alive,P.O.D.,2024-08-29 20:26:00
70,Alive and Kicking,Simple Minds,2024-08-29 20:44:00
71,All Along the Watchtower,Bob Dylan,2024-08-29 20:50:00
72,All Along the Watchtower,Dave Matthews Band,2024-08-29 20:53:00
73,All Along the Watchtower,The Jimi Hendrix Experience,2024-08-29 21:05:00
74,All Along the Watchtower,U2,2024-08-29 21:09:00
75,All Apologies,Nirvana,2024-08-29 21:14:00
76,All Because of You,U2,2024-08-29 21:18:00
77,All Day and All of the Night,The Kinks,2024-08-29 21:22:00
78,All I Wanna Do,Sheryl Crow,2024-08-29 21:24:00
79,All I Want,Toad the Wet Sprocket,2024-08-29 21:38:00
80,All I Want Is You,U2,2024-08-29 21:42:00
81,All Mixed Up,311,2024-08-29 21:47:00
82,All My Favorite Songs,Weezer,2024-08-29 21:51:00
83,All My Friends,The Revivalists,2024-08-29 21:54:00
84,All My Life,Falling In Reverse & Jelly Roll,2024-08-29 22:04:00
85,All My Life,Foo Fighters,2024-08-29 22:07:00
86,All My Love,Led Zeppelin,2024-08-29 22:13:00
87,All Nightmare Long,Metallica,2024-08-29 22:19:00
88,All Over You,LIVE,2024-08-29 22:24:00
89,All Right Now,Free,2024-08-29 22:40:00
90,All Star,Smash Mouth,2024-08-29 22:46:00
91,All The Small Things,blink-182,2024-08-29 22:50:00
92,All the Young Dudes,Mott the Hoople,2024-08-29 22:53:00
93,All These Things That I've Done,The Killers,2024-08-29 22:56:00
94,All Within My Hands,Metallica,2024-08-29 23:09:00
96,Allison Road,Gin Blossoms,2024-08-29 23:20:00
97,Almost Cut My Hair,"Crosby, Stills, Nash & Young",2024-08-29 23:23:00
98,Almost Easy,Avenged Sevenfold,2024-08-29 23:36:00
99,Alone,Heart,2024-08-29 23:40:00
100,Alone Again,Dokken,2024-08-29 23:46:00
101,Already Gone,Eagles,2024-08-29 23:50:00
102,ALREADY OVER,MIKE SHINODA,2024-08-30 06:07:00
103,Amanda,Boston,2024-08-30 06:11:00
105,Amber,311,2024-08-30 06:21:00
106,American Baby,Dave Matthews Band,2024-08-30 06:25:00
107,American Girl,Tom Petty,2024-08-30 06:36:00
108,American Idiot,Green Day,2024-08-30 06:39:00
109,American Pie,Don Mcclean,2024-08-30 06:43:00
110,American Woman,The Guess Who,2024-08-30 06:51:00
111,American Woman,Lenny Kravitz,2024-08-30 06:57:00
112,Anarchy In the U.K.,Sex Pistols,2024-08-30 07:07:00
113,Anastasia (feat. Myles Kennedy & the Conspirators),Slash,2024-08-30 07:11:00
114,And She Was,Talking Heads,2024-08-30 07:17:00
59,Ain't No Rest for the Wicked,Cage The Elephant,2024-08-29 19:21:00
95,ALL YOU ZOMBIES,The Hooters,2024-08-29 23:13:00
69,ALIVE,Pearl Jam,2024-08-29 20:38:00
9,25 or 6 to 4,Chicago,2024-08-29 13:09:00
115,And So It Went,The Pretty Reckless,2024-08-30 07:21:00
116,And the Cradle Will Rock...,Van Halen,2024-08-30 07:25:00
117,And We Danced,The Hooters,2024-08-30 07:29:00
118,Aneurysm,Nirvana,2024-08-30 07:33:00
120,Angel of Harlem,U2,2024-08-30 07:51:00
121,ANGEL SONG (feat. David Draiman),NOTHING MORE,2024-08-30 07:55:00
122,Angie,The Rolling Stones,2024-08-30 07:59:00
123,Angry,The Rolling Stones,2024-08-30 08:03:00
124,Angry Chair,Alice In Chains,2024-08-30 08:14:00
125,Animal,Def Leppard,2024-08-30 08:19:00
126,Animal,Pearl Jam,2024-08-30 08:23:00
127,Animal I Have Become,Three Days Grace,2024-08-30 08:26:00
128,Animals,Nickelback,2024-08-30 08:30:00
129,Anna Molly,Incubus,2024-08-30 08:34:00
130,"Another Brick in the Wall, Pt. 1, 2, 3",Korn,2024-08-30 08:38:00
131,Another Celebration at the End of the World,Mammoth WVH,2024-08-30 08:44:00
132,Another One Bites the Dust,Queen,2024-08-30 08:58:00
134,Another Way to Die,Disturbed,2024-08-30 09:06:00
135,Antisocial,Anthrax,2024-08-30 09:11:00
136,Ants Marching,Dave Matthews Band,2024-08-30 09:15:00
137,Black Leather,Joan Jett & The Blackhearts,2024-08-30 09:26:00
138,Anybody Seen My Baby?,The Rolling Stones,2024-08-30 09:30:00
139,Any Way You Want It,Journey,2024-08-30 09:35:00
140,Apocalyptic,Halestorm,2024-08-30 09:38:00
141,Aqualung,Jethro Tull,2024-08-30 09:41:00
142,Are You Experienced?,The Jimi Hendrix Experience,2024-08-30 09:48:00
143,Are You Gonna Be My Girl,Jet,2024-08-30 10:01:00
144,Are You Gonna Go My Way,Lenny Kravitz,2024-08-30 10:05:00
145,Are You Ready,Disturbed,2024-08-30 10:08:00
146,Armageddon It,Def Leppard,2024-08-30 10:13:00
147,Around the Dial,The Kinks,2024-08-30 10:19:00
149,As Tears Go By,The Rolling Stones,2024-08-30 10:41:00
150,Ashes to Ashes,David Bowie,2024-08-30 10:45:00
151,Asking for It,Shinedown,2024-08-30 10:50:00
152,Asleep,Godsmack,2024-08-30 11:03:00
153,Astronomy Domine,Pink Floyd,2024-08-30 11:07:00
154,Athena,The Who,2024-08-30 11:12:00
155,Atlantic City,Bruce Springsteen,2024-08-30 11:20:00
156,Atlas Falls,Shinedown,2024-08-30 11:43:00
157,"Atlas, Rise!",Metallica,2024-08-30 11:46:00
158,Atomic City,U2,2024-08-30 12:00:00
159,Atomic Punk,Van Halen,2024-08-30 12:05:00
160,Authority Song,John Cougar Mellencamp,2024-08-30 12:08:00
161,Awake,Godsmack,2024-08-30 12:12:00
162,Away from the Sun,3 Doors Down,2024-08-30 12:18:00
163,Axel F Theme,Harold Feltmeyer,2024-08-30 12:32:00
164,AYTA,Collective Soul,2024-08-30 12:36:00
165,Baba O'Riley,The Who,2024-08-30 12:44:00
166,Baba O'Riley,Pearl Jam,2024-08-30 12:49:00
167,Babe I'm Gonna Leave You,Led Zeppelin,2024-08-30 13:03:00
168,Baby Hold On,Eddie Money,2024-08-30 13:09:00
169,"Baby, I Love Your Way",Peter Frampton,2024-08-30 13:14:00
170,Baby I'm Broken,The Record Company,2024-08-30 13:19:00
173,Back Door Man,The Doors,2024-08-30 13:40:00
174,Back Down South,Kings of Leon,2024-08-30 13:44:00
175,Back for More,Ratt,2024-08-30 13:50:00
176,Back In Black,AC/DC,2024-08-30 14:03:00
178,Back On Earth,Ozzy Osbourne,2024-08-30 14:21:00
180,Back To The River,PRETTY RECKLESS,2024-08-30 14:42:00
181,Back To the Shack,Weezer,2024-08-30 14:47:00
182,Bad,U2,2024-08-30 15:07:00
183,"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer,2024-08-30 15:15:00
184,Bad Company,Bad Company,2024-08-30 15:18:00
185,Bad Company,Five Finger Death Punch,2024-08-30 15:23:00
186,Bad Day,Fuel,2024-08-30 15:36:00
187,Bad Medicine,Bon Jovi,2024-08-30 15:40:00
188,Bad Moon Rising,Creedence Clearwater Revival,2024-08-30 15:46:00
189,Bad Reputation,Joan Jett & The Blackhearts,2024-08-30 15:48:00
190,Bad To The Bone,George Thorogood & The Destroyers,2024-08-30 15:51:00
191,Badge,Cream,2024-08-30 16:04:00
192,Badlands,Bruce Springsteen,2024-08-30 16:07:00
193,Baker Street,Foo Fighters,2024-08-30 16:11:00
194,Ball and Chain,Social Distortion,2024-08-30 16:17:00
195,The Ballroom Blitz,Sweet,2024-08-30 16:30:00
196,Balls to the Wall,Accept,2024-08-30 16:35:00
197,Band On the Run,Foo Fighters,2024-08-30 16:40:00
198,Band On the Run,Paul McCartney & Wings,2024-08-30 16:46:00
199,Banditos,Refreshments,2024-08-30 16:52:00
200,Bang a Gong (Get It On),T. Rex,2024-08-30 16:56:00
201,(BANG A GONG) GET IT ON,POWER STATION,2024-08-30 17:01:00
202,Bang and Blame,R.E.M.,2024-08-30 17:07:00
203,Bang the Drum All Day,Todd Rundgren,2024-08-30 17:12:00
204,Metal Health (Bang Your Head),Quiet Riot,2024-08-30 17:15:00
205,Bargain,Who,2024-08-30 17:21:00
206,Bark at the Moon,Ozzy Osbourne,2024-08-30 17:34:00
207,Barracuda,Heart,2024-08-30 17:39:00
209,Bat Country,Avenged Sevenfold,2024-08-30 17:47:00
210,Bat Out of Hell,Meat Loaf,2024-08-30 17:59:00
211,Battery,Metallica,2024-08-30 18:09:00
212,Battle Born,Five Finger Death Punch,2024-08-30 18:14:00
213,Be Like That,3 Doors Down,2024-08-30 18:18:00
214,Be Yourself,Audioslave,2024-08-30 18:33:00
215,Beast Of Burden,The Rolling Stones,2024-08-30 18:38:00
216,Beat It,Michael Jackson,2024-08-30 18:42:00
217,Beat Up Guitar (Live),The Hooters,2024-08-30 18:46:00
218,Beautiful,P.O.D.,2024-08-30 19:00:00
219,Beautiful Day,U2,2024-08-30 19:04:00
220,Beautiful Girl,INXS,2024-08-30 19:08:00
221,Beautiful Girls,Van Halen,2024-08-30 19:12:00
222,Beautiful People (Stay High),The Black Keys,2024-08-30 19:17:00
223,Because I Got High,Afroman,2024-08-30 19:20:00
224,Because of You,Nickelback,2024-08-30 19:23:00
227,Bed of Roses,Bon Jovi,2024-08-30 19:49:00
494,Country Song,Seether,2024-09-01 10:48:00
